,urname,svname,rkpo,characterId,adventurename,adventurelevel,resist,physical_defense,magical_defense,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,Op.G-Pop,cain,"33,324",3c4d1ab1292aa13bc0982caed99308b3,GSPFlugel,36.0,-11.0,25.6,30.9,결전의 빗자루 - 마도학자,엔트 정령의 상의,매니퓰레이션,딥 다이버 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
1,슨사월4,anton,"33,324",4d359be20b9f593effac24335a4f50b4,슨사월,37.0,126.0,24.2,29.3,,,,,,,,,,,,,
2,소환사鄭,cain,"33,324",4c0caf4a197ebdc62ec522358dda77e4,봄쌀,40.0,36.0,23.2,32.3,,,,,,,,,,,,,
3,나에라,cain,"33,324",09ed2c8204ec90e68f8198e7534dd3af,발두크,36.0,14.0,44.1,49.5,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
4,-육도윤회-,casillas,"33,324",0b56682e7e49da4fbccd9c7f5c0152bf,whennn,43.0,135.0,21.8,29.9,,,,,,,,,,,,,
5,시누라마,siroco,"33,324",17e3ee3a17ef215a6d8d113ed4303eb6,자비로운나에게,1.0,53.0,28.2,33.0,,,,,,,,,,,,,
6,순혈꽃,hilder,"33,324",004e82f8ec7568022f382af3f62dbda2,붉은꽃별,39.0,151.0,26.3,31.1,근원을 삼킨 창,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,어댑터블 투톤 링,굴착 강화 파츠,거짓 속의 거짓,아크로매틱 룸버스,
7,이프제로,cain,"33,324",1deb4048b069d422cb4ed77e498b7698,나뭇잎이프,39.0,79.0,37.7,39.3,근원을 삼킨 장도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
8,라즈베리식빵,prey,"33,324",1c88fe10cf4a038e2aec745eaa0d91d5,나만의빵집,39.0,109.0,37.4,33.3,,,,,,,,,,,,,
9,어른의속사정,hilder,"33,324",d65ab20ce492a46dbffdf98315317ead,강마녹,37.0,36.0,32.0,29.4,,,,,,,,,,,,,
10,난사먹는렌져,cain,"33,324",c3b3b2018ef4e177854989097bfe485b,아름다운모험단,39.0,89.0,32.1,36.5,,,,,,,,,,,,,
11,탕세포,anton,"33,324",bba3f5cf83fb54d7ccd449ed9a1969a2,세포분열,37.0,89.0,40.5,45.7,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,아크로매틱 룸버스,
12,범순대,cain,"33,324",6e951f72325fcb2fcd582dc47a7e9e94,뿡수,35.0,89.0,33.3,34.1,,,,,,,,,,,,,
13,핵같데?,cain,"33,324",71631dce9dcf7ca275b7d0d9ed7f2636,앍큼,40.0,39.0,30.9,26.9,,,,,,,,,,,,,
14,딤유나,cain,"33,324",fbe8912afc87087fd4bc1c822a28d3ca,유나의거리,40.0,44.0,35.2,34.1,결전의 낫 - 미스트리스,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
15,냥살대엘마,cain,"33,324",f9d78caa451b5d99f58c878a0cbe6be3,e2435334,31.0,102.0,17.1,27.5,,,,,,,,,,,,,
16,옹첸트리스,cain,"33,324",eccae17683b23786071a4f686ffe93ca,옹해적단,43.0,153.0,31.7,30.6,결전의 빗자루 - 인챈트리스,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,파워 네비게이트 팩,고통의 상처,생명이 담긴 잔,승리가 약속된 시간,황혼의 성단,금룡 : 무한한 빛의 결계
17,RuiSaotome,bakal,"33,324",f3610e212921ae94323e65c2c6e2ff40,SannomiyaTsubaki,38.0,131.0,44.3,41.6,결전의 빗자루 - 인챈트리스,어릴적 꿈꿔온 무대,화려한 청색의 음율,지치지 않는 여정의 하의,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,시각의 관점,
18,유메짱,prey,"33,324",957db899263c476a0d5bc27b1756b9b9,방황소년단,29.0,100.0,26.3,34.3,,,,,,,,,,,,,
19,공이베,anton,"33,323",9ccb0544109fe79bb042801f24b4ab7e,파이네플,41.0,24.0,39.4,36.1,,,,,,,,,,,,,
20,죡삭이웨펀,siroco,"33,323",9fd7e2c0ee21595fa2bca6a2d4dbcc3e,쌈닭홍이,39.0,6.0,27.6,29.5,,,,,,,,,,,,,
21,본부장,anton,"33,323",a26aac8d133b074698c26c4b2c4b77cf,달빛아래피는꽃,41.0,86.0,30.8,34.3,근원을 삼킨 광검,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,어둠을 먹는 심장,결전의 광검 - 베가본드,금룡 : 무한한 빛의 결계
22,래밍챠,anton,"33,323",8fa9cde89832b3a9d81cc932448e7ffe,YILI,40.0,54.0,37.1,36.4,,,,,,,,,,,,,
23,화뱅,cain,"33,323",bbc61beded7956cdf8104e1aba7b6369,화화화화,39.0,89.0,29.4,35.2,,,,,,,,,,,,,
24,도리도리어택,cain,"33,323",1c62dc7e4adf9fd518429a3b7781977f,심심군단,31.0,44.0,25.6,33.9,,,,,,,,,,,,,
25,HEY.NE,anton,"33,323",40b97d4da032d21b8354c221142af3c0,소주연,38.0,69.0,24.5,26.6,,,,,,,,,,,,,
26,후니본캐,bakal,"33,323",493615a47903c6db67d08af4e8c59cdb,후Ll네,39.0,29.0,26.0,29.3,,,,,,,,,,,,,
27,뉴비챙겨줘요,casillas,"33,323",4747aa4d0f27e15639a7a8ef1efd0c29,우리같이즐겨요,20.0,44.0,28.5,29.9,,,,,,,,,,,,,
28,영감미안해요,casillas,"33,323",03946493a153d46aa04e7f006795489c,뉴비바둑이,4.0,54.0,30.8,32.4,,,,,,,,,,,,,
29,사령삭삭이,hilder,"33,323",cfce23c00fd604ec23aa361012a6575b,삭삭이,41.0,44.0,35.4,36.7,근원을 삼킨 완드,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,절망의 발소리,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,
30,버퍼주농이,casillas,"33,323",f3f8ed7930f8ca122f708096f8850b82,호미스피자,29.0,116.0,29.5,27.6,,,,,,,,,,,,,
31,날개레이븐,diregie,"33,323",f6f37a522acb99a6823ce210c8021171,검붉은날개,41.0,114.0,29.0,33.6,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,깨지지 않는 빛바랜 신념,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,천계 연합군 : 밝게 빛나는 희망
32,곰탱이인챈,diregie,"33,323",dc695fc4460740d7999ec89b2c467559,탈던1일차,40.0,44.0,21.4,7.8,,,,,,,,,,,,,
33,싱나는문좌,cain,"33,323",fc9fac3eb654111f492f4166822399e8,싱나는모험,33.0,89.0,32.3,36.0,,,,,,,,,,,,,
