,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,Op.G-Pop,결전의 빗자루 - 마도학자,엔트 정령의 상의,매니퓰레이션,딥 다이버 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,슨사월4,,,,,,,,,,,,,
0,소환사鄭,,,,,,,,,,,,,
0,나에라,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,완성형 동력 제어장치,폭풍을 삼킨 에너지,
0,-육도윤회-,,,,,,,,,,,,,
0,시누라마,,,,,,,,,,,,,
0,순혈꽃,근원을 삼킨 창,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,어댑터블 투톤 링,굴착 강화 파츠,거짓 속의 거짓,아크로매틱 룸버스,
0,이프제로,근원을 삼킨 장도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,라즈베리식빵,,,,,,,,,,,,,
0,어른의속사정,,,,,,,,,,,,,
0,난사먹는렌져,,,,,,,,,,,,,
0,탕세포,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,아크로매틱 룸버스,
0,범순대,,,,,,,,,,,,,
0,핵같데?,,,,,,,,,,,,,
0,딤유나,결전의 낫 - 미스트리스,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,냥살대엘마,,,,,,,,,,,,,
