,urname,rkpo
0,빵문검귀이,"49,897"
1,쿰,"49,627"
2,し㏄,"49,551"
3,새지타,"49,549"
4,닉넴이읍어,"49,543"
5,석양공주,"49,511"
6,븝포칼립스,"49,506"
7,안녕,"49,500"
8,노상훈,"49,486"
9,페델레스,"49,486"
10,키리마도샤로,"49,480"
11,나나,"49,479"
12,쿠노이치,"49,471"
13,Nepel-Pichu,"49,466"
14,복결,"49,465"
15,김유니,"49,465"
16,모든속성저항,"49,465"
17,NT-1,"49,465"
18,있찌,"49,465"
19,o페이탈o,"49,463"
20,Rm9yZ290dGVu,"49,460"
21,테뷰,"49,451"
22,민트크림소스,"49,443"
23,무력,"49,435"
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,칼자이츠,"49,380"
33,3각,"49,377"
34,Last아담,"49,363"
35,Stereophonic,"49,362"
36,팽귄스핏,"49,354"
37,영,"49,354"
38,주루.,"49,354"
39,서늘비,"49,351"
40,샤아로오키익,"49,350"
41,탈모샷,"49,349"
42,Zenith,"49,345"
43,할로윈카스미,"49,345"
44,잉여엘,"49,342"
45,솬미생,"49,342"
46,Lonelily,"49,341"
47,매링,"49,333"
48,진보大학생,"49,333"
49,빈경1,"49,322"
50,챰치라떼,"49,322"
51,大碩,"49,322"
52,븝보면짖는개,"49,321"
53,시아,"49,320"
54,프라디지,"49,320"
55,도,"49,319"
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,모텔,"49,308"
65,검,"49,307"
66,소라랜서,"49,294"
67,얍,"49,292"
68,레븜,"49,291"
69,원한,"49,291"
70,ㅁ12345215,"49,291"
71,비트,"49,288"
72,이거나먹엇!,"49,287"
73,진곰인형,"49,285"
74,우주선,"49,285"
75,우유,"49,285"
76,날먹버프쳐,"49,283"
77,PerfectMind,"49,279"
78,만크버섴,"49,279"
79,칼바람블레,"49,279"
